"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.00625050012793764,9,14.53
"2","Alaska",0.527767977611011,0.00482950012793764,3,9
"3","Arizona",0.469413540848299,0.00580228373516995,11,4.2
"4","Arkansas",0.694233082638575,0.00566950012793764,6,15.58
"5","California",0.36341965491366,0.00332337112006832,55,-12.96
"6","Colorado",0.442194962696204,0.0028326756739316,9,-1.26
"7","Connecticut",0.41484746012372,0.00439450012793764,7,-6.95
"8","Delaware",0.443293312927267,0.00496450012793764,3,-7.14
"9","District of Columbia",0.110265808256422,0.00490450012793764,3,-42.87
"10","Florida",0.485941768503168,0.00554084894589292,29,2.84
"11","Georgia",0.512372586347672,0.00582689716658336,16,4.99
"12","Hawaii",0.357336416797018,0.00458950012793764,4,-18.5
"13","Idaho",0.607934280385648,0.00490474877793764,4,18.41
"14","Illinois",0.429004736763758,0.00404950012793764,20,-7.29
"15","Indiana",0.559405229449153,0.00650677021506252,11,9.6
"16","Iowa",0.55065033748343,0.00326950012793764,6,3.35
"17","Kansas",0.564871163850208,0.00592450012793764,6,11.64
"18","Kentucky",0.620166873345052,0.00587950012793764,8,15.08
"19","Louisiana",0.594479414421829,0.00510966679460431,8,12.17
"20","Maine",0.508831033229755,0.00326950012793764,3,-2.89
"21","Maine CD-2",0.548123078342057,0.00326950012793764,1,3.51
"22","Maryland",0.358166845271325,0.00406228055753191,10,-12.25
"23","Massachusetts",0.36353212224736,0.00405750869339752,11,-16.04
"24","Michigan",0.473353014220186,0.00618962775090665,16,-0.3
"25","Minnesota",0.482002726190179,0.00410981887559864,10,-0.85
"26","Mississippi",0.58776724011557,0.00726700012793764,6,9.18
"27","Missouri",0.555046011458675,0.00549645076512627,10,9.62
"28","Montana",0.560413556759045,0.00458950012793764,3,9.76
"29","Nebraska",0.568729842701308,0.00430450012793764,4,14.39
"30","Nebraska CD-2",0.526229842701307,0.00430450012793764,1,3.26
"31","Nevada",0.453182192478105,0.00542950012793764,6,0.12
"32","New Hampshire",0.457475981456444,0.00583450012793764,4,-0.21
"33","New Jersey",0.410297501461755,0.00444282874793764,14,-6.18
"34","New Mexico",0.458839399500891,0.00597707644856627,5,-4.14
"35","New York",0.368459531548334,0.00499450012793764,29,-11.53
"36","North Carolina",0.499028671506601,0.00499147642016288,15,3.51
"37","North Dakota",0.578560397532694,0.00307450012793764,3,17.04
"38","Ohio",0.512290406848774,0.00621565131630824,18,4.55
"39","Oklahoma",0.619363645191392,0.00601827790571542,7,19.38
"40","Oregon",0.434310231656501,0.00230533678132409,7,-5.29
"41","Pennsylvania",0.475543678450233,0.00547707310585448,20,0.6
"42","Rhode Island",0.425445186312509,0.00502450012793764,4,-9.39
"43","South Carolina",0.477039336564347,0.00595450012793764,9,8.67
"44","South Dakota",0.626961442663037,0.00578950012793764,3,15.26
"45","Tennessee",0.618844571640094,0.00634450012793764,11,13.93
"46","Texas",0.493811697867704,0.00629490175615095,38,7.2
"47","Utah",0.580012445509982,0.00370450012793764,6,16.94
"48","Vermont",0.383147846843657,0.00514302005541204,3,-15.75
"49","Virginia",0.454863935412467,0.0068331797816173,13,-1.13
"50","Washington",0.439918154528838,0.00397450012793764,12,-7.44
"51","West Virginia",0.676239900812176,0.00442450012793764,5,18.16
"52","Wisconsin",0.465267027318735,0.0048090951608169,10,0.39
"53","Wyoming",0.684224795307416,0.00521950012793764,3,24.64
