"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",1
"50",1
"51",3
"52",2
"53",0
"54",2
"55",4
"56",5
"57",2
"58",5
"59",4
"60",7
"61",7
"62",5
"63",10
"64",8
"65",8
"66",13
"67",6
"68",19
"69",16
"70",28
"71",22
"72",19
"73",36
"74",46
"75",36
"76",30
"77",45
"78",56
"79",62
"80",57
"81",85
"82",97
"83",97
"84",99
"85",124
"86",134
"87",149
"88",158
"89",187
"90",192
"91",176
"92",221
"93",239
"94",279
"95",286
"96",316
"97",334
"98",346
"99",408
"100",436
"101",435
"102",500
"103",523
"104",576
"105",570
"106",623
"107",626
"108",697
"109",795
"110",857
"111",829
"112",904
"113",964
"114",1009
"115",1144
"116",1184
"117",1270
"118",1263
"119",1342
"120",1473
"121",1517
"122",1602
"123",1675
"124",1780
"125",1829
"126",1833
"127",1982
"128",2009
"129",2066
"130",2251
"131",2358
"132",2450
"133",2459
"134",2534
"135",2702
"136",2863
"137",2996
"138",2968
"139",3104
"140",3219
"141",3381
"142",3366
"143",3540
"144",3722
"145",3842
"146",3917
"147",3987
"148",4150
"149",4278
"150",4407
"151",4533
"152",4628
"153",4559
"154",4889
"155",5002
"156",5022
"157",5131
"158",5243
"159",5494
"160",5432
"161",5636
"162",5774
"163",5957
"164",6041
"165",6101
"166",6191
"167",6333
"168",6152
"169",6462
"170",6460
"171",6819
"172",6863
"173",6780
"174",6966
"175",7094
"176",7240
"177",7378
"178",7413
"179",7366
"180",7473
"181",7764
"182",7769
"183",7746
"184",8052
"185",7957
"186",8083
"187",8073
"188",7997
"189",8142
"190",8215
"191",8165
"192",8296
"193",8542
"194",8220
"195",8430
"196",8541
"197",8391
"198",8563
"199",8364
"200",8542
"201",8605
"202",8342
"203",8358
"204",8537
"205",8552
