"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.613995772556443,42351,957649,9,14.53
"2","Alaska",0.52646492958286,319633,680367,3,9
"3","Arizona",0.486005390043475,585823,414177,11,4.2
"4","Arkansas",0.665983628349586,6639,993361,6,15.58
"5","California",0.336619841044933,999664,336,55,-12.96
"6","Colorado",0.439400768209593,971159,28841,9,-1.26
"7","Connecticut",0.414805548191335,950517,49483,7,-6.95
"8","Delaware",0.443260773833944,840226,159774,3,-7.14
"9","District of Columbia",0.110223504210058,1e+06,0,3,-42.87
"10","Florida",0.48672496015193,584698,415302,29,2.84
"11","Georgia",0.497722450925353,512286,487714,16,4.99
"12","Hawaii",0.349464341684274,996149,3851,4,-18.5
"13","Idaho",0.608180186218147,27296,972704,4,18.41
"14","Illinois",0.426737717185638,932649,67351,20,-7.29
"15","Indiana",0.555483118494768,207328,792672,11,9.6
"16","Iowa",0.505304955428534,446351,553649,6,3.35
"17","Kansas",0.55846680680646,185723,814277,6,11.64
"18","Kentucky",0.602141827689611,58492,941508,8,15.08
"19","Louisiana",0.613429955374955,31721,968279,8,12.17
"20","Maine",0.42262733422237,973120,26880,3,-2.89
"21","Maine CD-2",0.498390196412728,515902,484098,1,3.51
"22","Maryland",0.361788667054962,992907,7093,10,-12.25
"23","Massachusetts",0.345369909669577,999586,414,11,-16.04
"24","Michigan",0.46885513414998,681002,318998,16,-0.3
"25","Minnesota",0.462980988167323,777939,222061,10,-0.85
"26","Mississippi",0.577647281157844,165777,834223,6,9.18
"27","Missouri",0.540025620022364,252403,747597,10,9.62
"28","Montana",0.537158909518037,245397,754603,3,9.76
"29","Nebraska",0.568689577082382,88054,911946,4,14.39
"30","Nebraska CD-2",0.484886662457495,614923,385077,1,3.26
"31","Nevada",0.471394459057027,675327,324673,6,0.12
"32","New Hampshire",0.44971098981073,783353,216647,4,-0.21
"33","New Jersey",0.404136775187695,974696,25304,14,-6.18
"34","New Mexico",0.444183391678982,797350,202650,5,-4.14
"35","New York",0.357518343268441,991936,8064,29,-11.53
"36","North Carolina",0.491558456614973,558678,441322,15,3.51
"37","North Dakota",0.584689354492273,24064,975936,3,17.04
"38","Ohio",0.507065375526489,457803,542197,18,4.55
"39","Oklahoma",0.613727606713462,33232,966768,7,19.38
"40","Oregon",0.427049087792686,1e+06,0,7,-5.29
"41","Pennsylvania",0.481770466158445,617300,382700,20,0.6
"42","Rhode Island",0.42550978643868,903506,96494,4,-9.39
"43","South Carolina",0.528636938287,331232,668768,9,8.67
"44","South Dakota",0.591388898244437,81169,918831,3,15.26
"45","Tennessee",0.618779256807553,40515,959485,11,13.93
"46","Texas",0.505525954106593,467891,532109,38,7.2
"47","Utah",0.565246362698859,78398,921602,6,16.94
"48","Vermont",0.373727225431817,986056,13944,3,-15.75
"49","Virginia",0.448235952480942,772283,227717,13,-1.13
"50","Washington",0.406074512240015,972998,27002,12,-7.44
"51","West Virginia",0.638280910558779,7486,992514,5,18.16
"52","Wisconsin",0.466641413058406,726591,273409,10,0.39
"53","Wyoming",0.684179628078814,887,999113,3,24.64
